emoji,english,category,subcategory,hebrew_masculine,translit_masculine,hebrew_feminine,translit_feminine
🎈,Balloon,Object,Party,בָּלּוֹן,balon,,
🎁,Gift,Object,Party,,,מַתָּנָה,matana
🎀,Ribbon,Object,Party,סֶרֶט,seret,,
🎉,Party Popper,Object,Party,,,חֲגִיגָה,chagiga
⏰,Alarm Clock,Time,Clock,שָׁעוֹן מְעוֹרֵר,shaon meorer,,
⌚,Watch,Time,Clock,שָׁעוֹן,shaon,,
🔑,Key,Object,Lock,,,מַפְתֵּחַ,mafteach
🔒,Lock,Object,Lock,,,מַנְעוּל,manul
🔓,Open Lock,Object,Lock,,,מַנְעוּל פָּתוּחַ,manul patuach
🛡️,Shield,Object,Weapon,,,מָגֵן,magen
⚔️,Crossed Swords,Object,Weapon,חֲרָבוֹת,charavot,,
🔫,Pistol,Object,Weapon,,,אֶקְדָּח,ekdach
🏹,Bow and Arrow,Object,Weapon,קֶשֶׁת וָחֵץ,keshet vachetz,,
🕎,Menorah,Religion,Religion,,,חֲנֻכִּיָּה,chanukiya
✡️,Star of David,Religion,Religion,,,מָגֵן דָּוִד,magen david
🕯️,Candle,Object,Light,נֵר,ner,,
📜,Scroll,Object,Paper,,,מְגִלָּה,megila
✝️,Cross,Religion,Religion,צְלָב,tzelav,,
☪️,Star and Crescent,Religion,Religion,,,סַהַר וְכוֹכָב,sahar vechochav
☸️,Dharma Wheel,Religion,Religion,,,גַּלְגַּל הַדְהַרְמָה,galgal hadharma
🛐,Place of Worship,Religion,Religion,,,מָקוֹם תְּפִלָּה,makom tefila
🙏,Praying Hands,Religion,Religion,,,יָדַיִם מִתְפַּלְּלוֹת,yadayim mitpallot
❤️,Red Heart,Emotion,Heart,לֵב אָדוֹם,lev adom,,
🧡,Orange Heart,Emotion,Heart,לֵב כָּתוֹם,lev katom,,
💛,Yellow Heart,Emotion,Heart,לֵב צָהוֹב,lev tzahov,,
💚,Green Heart,Emotion,Heart,לֵב יָרוֹק,lev yarok,,
💙,Blue Heart,Emotion,Heart,לֵב כָּחוֹל,lev kachol,,
💜,Purple Heart,Emotion,Heart,לֵב סָגוֹל,lev sagol,,
🖤,Black Heart,Emotion,Heart,לֵב שָׁחוֹר,lev shachor,,
🤍,White Heart,Emotion,Heart,לֵב לָבָן,lev lavan,,
🤎,Brown Heart,Emotion,Heart,לֵב חוּם,lev chum,,
⭕,Hollow Circle,Symbol,Decorative,עִגּוּל,igul,,
🔴,Red Circle,Symbol,Shape,עִגּוּל אָדוֹם,igul adom,,
🟠,Orange Circle,Symbol,Shape,עִגּוּל כָּתוֹם,igul katom,,
🟡,Yellow Circle,Symbol,Shape,עִגּוּל צָהוֹב,igul tzahov,,
🟢,Green Circle,Symbol,Shape,עִגּוּל יָרוֹק,igul yarok,,
🔵,Blue Circle,Symbol,Shape,עִגּוּל כָּחוֹל,igul kachol,,
🟣,Purple Circle,Symbol,Shape,עִגּוּל סָגוֹל,igul sagol,,
⚫,Black Circle,Symbol,Shape,עִגּוּל שָׁחוֹר,igul shachor,,
⚪,White Circle,Symbol,Shape,עִגּוּל לָבָן,igul lavan,,
🟤,Brown Circle,Symbol,Shape,עִגּוּל חוּם,igul chum,,
🟥,Red Square,Symbol,Shape,מְרֻבָּע אָדוֹם,meruba adom,,
🟧,Orange Square,Symbol,Shape,מְרֻבָּע כָּתוֹם,meruba katom,,
🟨,Yellow Square,Symbol,Shape,מְרֻבָּע צָהוֹב,meruba tzahov,,
🟩,Green Square,Symbol,Shape,מְרֻבָּע יָרוֹק,meruba yarok,,
🟦,Blue Square,Symbol,Shape,מְרֻבָּע כָּחוֹל,meruba kachol,,
🟪,Purple Square,Symbol,Shape,מְרֻבָּע סָגוֹל,meruba sagol,,
⬛,Black Square,Symbol,Shape,מְרֻבָּע שָׁחוֹר,meruba shachor,,
⬜,White Square,Symbol,Shape,מְרֻבָּע לָבָן,meruba lavan,,
🟫,Brown Square,Symbol,Shape,מְרֻבָּע חוּם,meruba chum,,
🔺,Red Triangle Up,Symbol,Shape,מְשֻׁלָּשׁ אָדוֹם,meshulash adom,,
🔻,Red Triangle Down,Symbol,Shape,מְשֻׁלָּשׁ הָפוּךְ,meshulash hafuch,,
🔶,Large Orange Diamond,Symbol,Shape,מְעֻיָּן כָּתוֹם,meuyan katom,,
🔷,Large Blue Diamond,Symbol,Shape,מְעֻיָּן כָּחוֹל,meuyan kachol,,
🔸,Small Orange Diamond,Symbol,Decorative,מְעֻיָּן קָטָן,meuyan katan,,
🔹,Small Blue Diamond,Symbol,Decorative,מְעֻיָּן קָטָן,meuyan katan,,
➕,Plus Sign,Symbol,Math,סִימָן חִבּוּר,siman chibur,,
➖,Minus Sign,Symbol,Math,סִימָן חִסּוּר,siman chisur,,
✖️,Multiplication Sign,Symbol,Math,סִימָן כֶּפֶל,siman kefel,,
➗,Division Sign,Symbol,Math,סִימָן חִלּוּק,siman chiluk,,
😀,Grinning Face,Emotion,Face,שָׂמֵחַ,sameach,שְׂמֵחָה,semecha
😃,Grinning Face with Big Eyes,Emotion,Face,שָׂמֵחַ מְאוֹד,sameach meod,שְׂמֵחָה מְאוֹד,semecha meod
😄,Grinning Face with Smiling Eyes,Emotion,Face,צוֹחֵק,tzochek,צוֹחֶקֶת,tzocheket
😁,Beaming Face,Emotion,Face,מְחַיֵּךְ,mechayech,מְחַיֶּכֶת,mechayechet
😆,Grinning Squinting Face,Emotion,Face,מִתְפַּקֵּעַ מִצְּחוֹק,mitpakea mitzchok,מִתְפַּקַּעַת מִצְּחוֹק,mitpakaat mitzchok
😅,Grinning Face with Sweat,Emotion,Face,מַזִּיעַ,maziya,מַזִּיעָה,maziya
🤣,Rolling on the Floor Laughing,Emotion,Face,מִתְגַּלְגֵּל מִצְּחוֹק,mitgalgel mitzchok,מִתְגַּלְגֶּלֶת מִצְּחוֹק,mitgalgelet mitzchok
😂,Face with Tears of Joy,Emotion,Face,צוֹחֵק עַד דְּמָעוֹת,tzochek ad demaot,צוֹחֶקֶת עַד דְּמָעוֹת,tzocheket ad demaot
🙂,Slightly Smiling Face,Emotion,Face,מְחַיֵּךְ,mechayech,מְחַיֶּכֶת,mechayechet
🙃,Upside-Down Face,Emotion,Face,הָפוּךְ,hafuch,הֲפוּכָה,hafucha
🫠,Melting Face,Emotion,Face,נָמֵס,names,נְמֵסָה,nemesa
😉,Winking Face,Emotion,Face,קוֹרֵץ,koretz,קוֹרֶצֶת,koretzet
😊,Smiling Face with Smiling Eyes,Emotion,Face,מְחַיֵּךְ,mechayech,מְחַיֶּכֶת,mechayechet
😇,Smiling Face with Halo,Emotion,Face,מַלְאָךְ,malach,מַלְאָכִית,malachit
🥰,Smiling Face with Hearts,Emotion,Face,מְאֹהָב,meohav,מְאֹהֶבֶת,meohevet
😍,Smiling Face with Heart-Eyes,Emotion,Face,מְאֹהָב,meohav,מְאֹהֶבֶת,meohevet
🤩,Star-Struck,Emotion,Face,נִדְהָם,nidham,נִדְהֶמֶת,nidhemet
😘,Face Blowing a Kiss,Emotion,Face,שׁוֹלֵחַ נְשִׁיקָה,sholeach neshika,שׁוֹלַחַת נְשִׁיקָה,sholachat neshika
😗,Kissing Face,Emotion,Face,מְנַשֵּׁק,menashek,מְנַשֶּׁקֶת,menasheket
☺️,Smiling Face,Emotion,Face,מְחַיֵּךְ,mechayech,מְחַיֶּכֶת,mechayechet
😚,Kissing Face with Closed Eyes,Emotion,Face,מְנַשֵּׁק בְּעֵינַיִם עֲצוּמוֹת,menashek beeynayim atzumot,מְנַשֶּׁקֶת בְּעֵינַיִם עֲצוּמוֹת,menasheket beeynayim atzumot
😙,Kissing Face with Smiling Eyes,Emotion,Face,מְנַשֵּׁק בְּחִיּוּךְ,menashek bechiyuch,מְנַשֶּׁקֶת בְּחִיּוּךְ,menasheket bechiyuch
🥲,Smiling Face with Tear,Emotion,Face,דּוֹמֵעַ מֵאֹשֶׁר,domea meosher,דּוֹמַעַת מֵאֹשֶׁר,domaat meosher
😋,Face Savoring Food,Emotion,Face,נֶהֱנֶה,nehene,נֶהֱנֵית,neheneyt
😛,Face with Tongue,Emotion,Face,מוֹצִיא לָשׁוֹן,motzi lashon,מוֹצִיאָה לָשׁוֹן,motziya lashon
😜,Winking Face with Tongue,Emotion,Face,קוֹרֵץ עִם לָשׁוֹן,koretz im lashon,קוֹרֶצֶת עִם לָשׁוֹן,koretzet im lashon
🤪,Zany Face,Emotion,Face,מְשֻׁגָּע,meshuga,מְשֻׁגַּעַת,meshugaat
😝,Squinting Face with Tongue,Emotion,Face,מַעֲוֶה פָּנִים,maave panim,מַעֲוָה פָּנִים,maava panim
🤑,Money-Mouth Face,Emotion,Face,תְּאֵב כֶּסֶף,teev kesef,תְּאֵבַת כֶּסֶף,teevat kesef
🤗,Smiling Face with Open Hands,Emotion,Face,מְחַבֵּק,mechabek,מְחַבֶּקֶת,mechabeket
🤭,Face with Hand Over Mouth,Emotion,Face,מְכַסֶּה פֶּה,mechase pe,מְכַסָּה פֶּה,mechasa pe
🫢,Face with Open Eyes and Hand Over Mouth,Emotion,Face,מֻפְתָּע,mufta,מֻפְתַּעַת,muftaat
🫣,Face with Peeking Eye,Emotion,Face,מְצִיץ,metzitz,מְצִיצָה,metzitza
🤫,Shushing Face,Emotion,Face,מַשְׁתִּיק,mashtik,מַשְׁתִּיקָה,mashtika
🤔,Thinking Face,Emotion,Face,חוֹשֵׁב,choshev,חוֹשֶׁבֶת,choshevet
🫡,Saluting Face,Emotion,Face,מְצַדִּיעַ,metzadiya,מְצַדִּיעָה,metzadiya
🤐,Zipper-Mouth Face,Emotion,Face,פֶּה סָגוּר,pe sagur,פֶּה סָגוּר,pe sagur
🤨,Face with Raised Eyebrow,Emotion,Face,סַקְרָן,sakran,סַקְרָנִית,sakranit
😐,Neutral Face,Emotion,Face,אָדִישׁ,adish,אֲדִישָׁה,adisha
😑,Expressionless Face,Emotion,Face,חֲסַר הַבָּעָה,chasar habaa,חֲסַרַת הַבָּעָה,chasarat habaa
😶,Face Without Mouth,Emotion,Face,שׁוֹתֵק,shotek,שׁוֹתֶקֶת,shoteket
🫥,Dotted Line Face,Emotion,Face,נֶעְלָם,nelam,נֶעְלֶמֶת,nelemet
😏,Smirking Face,Emotion,Face,מְלַגְלֵג,melagleg,מְלַגְלֶגֶת,melagleget
😒,Unamused Face,Emotion,Face,לֹא מְעֻנְיָן,lo meunyan,לֹא מְעֻנְיֶנֶת,lo meunyenet
🙄,Face with Rolling Eyes,Emotion,Face,מְגַלְגֵּל עֵינַיִם,megalgel eynayim,מְגַלְגֶּלֶת עֵינַיִם,megalgelet eynayim
😬,Grimacing Face,Emotion,Face,מַעֲוֶה פָּנִים,maave panim,מַעֲוָה פָּנִים,maava panim
😮‍💨,Face Exhaling,Emotion,Face,נוֹשֵׁף,noshef,נוֹשֶׁפֶת,noshefet
🤥,Lying Face,Emotion,Face,שַׁקְרָן,shakran,שַׁקְרָנִית,shakranit
🫨,Shaking Face,Emotion,Face,רוֹעֵד,roed,רוֹעֶדֶת,roedet
😌,Relieved Face,Emotion,Face,רָגוּעַ,ragua,רְגוּעָה,regua
😔,Pensive Face,Emotion,Face,עָצוּב,atzuv,עֲצוּבָה,atzuva
😪,Sleepy Face,Emotion,Face,יָשְׁנוּנִי,yashnuni,יָשְׁנוּנִית,yashnunit
🤤,Drooling Face,Emotion,Face,מְזִיל רִיר,mezil rir,מְזִילָה רִיר,mezila rir
😴,Sleeping Face,Emotion,Face,יָשֵׁן,yashen,יְשֵׁנָה,yeshena
😷,Face with Medical Mask,Emotion,Face,עִם מַסֵּכָה,im masecha,עִם מַסֵּכָה,im masecha
🤒,Face with Thermometer,Emotion,Face,חוֹלֶה,chole,חוֹלָה,chola
🤕,Face with Head-Bandage,Emotion,Face,פָּצוּעַ,patzua,פְּצוּעָה,petzua
🤢,Nauseated Face,Emotion,Face,בְּחִילָה,bechila,בְּחִילָה,bechila
🤮,Face Vomiting,Emotion,Face,מַקִּיא,maki,מְקִיאָה,mekiya
🤧,Sneezing Face,Emotion,Face,מִתְעַטֵּשׁ,mitatesh,מִתְעַטֶּשֶׁת,mitateshet
🥵,Hot Face,Emotion,Face,חַם לוֹ,cham lo,חַם לָהּ,cham la
🥶,Cold Face,Emotion,Face,קַר לוֹ,kar lo,קַר לָהּ,kar la
🥴,Woozy Face,Emotion,Face,מְבֻלְבָּל,mevulbal,מְבֻלְבֶּלֶת,mevulbelet
😵,Face with Crossed-Out Eyes,Emotion,Face,סְחַרְחַר,secharchar,סְחַרְחֹרֶת,secharchoret
😵‍💫,Face with Spiral Eyes,Emotion,Face,מְבֻלְבָּל,mevulbal,מְבֻלְבֶּלֶת,mevulbelet
🤯,Exploding Head,Emotion,Face,הִתְפּוֹצְצוּת מֹחַ,hitpotztzut moach,הִתְפּוֹצְצוּת מֹחַ,hitpotztzut moach
🤠,Cowboy Hat Face,Emotion,Face,בּוֹקֵר,boker,בּוֹקֶרֶת,bokeret
🥳,Partying Face,Emotion,Face,חוֹגֵג,chogeg,חוֹגֶגֶת,chogeget
🥸,Disguised Face,Emotion,Face,מְחֻפָּשׂ,mechupas,מְחֻפֶּשֶׂת,mechupeset
😎,Smiling Face with Sunglasses,Emotion,Face,מְגֻנְדָּר,megundar,מְגֻנְדֶּרֶת,megunderet
🤓,Nerd Face,Emotion,Face,חַנּוּן,chanun,חַנּוּנִית,chanunit
🧐,Face with Monocle,Emotion,Face,חוֹקֵר,choker,חוֹקֶרֶת,chokeret
😕,Confused Face,Emotion,Face,מְבֻלְבָּל,mevulbal,מְבֻלְבֶּלֶת,mevulbelet
🫤,Face with Diagonal Mouth,Emotion,Face,לֹא בָּטוּחַ,lo batuach,לֹא בְּטוּחָה,lo betucha
😟,Worried Face,Emotion,Face,מֻדְאָג,mudag,מֻדְאֶגֶת,mudeget
🙁,Slightly Frowning Face,Emotion,Face,עָצוּב קְצָת,atzuv ketzat,עֲצוּבָה קְצָת,atzuva ketzat
☹️,Frowning Face,Emotion,Face,עָצוּב,atzuv,עֲצוּבָה,atzuva
😮,Face with Open Mouth,Emotion,Face,מֻפְתָּע,mufta,מֻפְתַּעַת,muftaat
😯,Hushed Face,Emotion,Face,מֻפְתָּע,mufta,מֻפְתַּעַת,muftaat
😲,Astonished Face,Emotion,Face,נִדְהָם,nidham,נִדְהֶמֶת,nidhemet
😳,Flushed Face,Emotion,Face,נָבוֹךְ,navoch,נְבוֹכָה,nevocha
🥺,Pleading Face,Emotion,Face,מִתְחַנֵּן,mitchanen,מִתְחַנֶּנֶת,mitchanenet
🥹,Face Holding Back Tears,Emotion,Face,מִתְאַפֵּק לִבְכּוֹת,mitapek livkot,מִתְאַפֶּקֶת לִבְכּוֹת,mitapeket livkot
😦,Frowning Face with Open Mouth,Emotion,Face,מֻפְחָד,mufchad,מֻפְחֶדֶת,mufchedet
😧,Anguished Face,Emotion,Face,בְּמְצוּקָה,bemtzuka,בְּמְצוּקָה,bemtzuka
😨,Fearful Face,Emotion,Face,מְפֻחָד,mefuchad,מְפֻחֶדֶת,mefuchedet
😰,Anxious Face with Sweat,Emotion,Face,לָחוּץ,lachutz,לְחוּצָה,lechutza
😥,Sad but Relieved Face,Emotion,Face,מָאוּכְזָב,mauchzav,מְאֻכְזֶבֶת,meuchzevet
😢,Crying Face,Emotion,Face,בּוֹכֶה,boche,בּוֹכָה,bocha
😭,Loudly Crying Face,Emotion,Face,בּוֹכֶה בְּקוֹל,boche bekol,בּוֹכָה בְּקוֹל,bocha bekol
😱,Face Screaming in Fear,Emotion,Face,צוֹעֵק מִפַּחַד,tzoek mipachad,צוֹעֶקֶת מִפַּחַד,tzoeket mipachad
😖,Confounded Face,Emotion,Face,מֻתְסָכָּל,mutsakal,מֻתְסְכֶּלֶת,mutskelet
😣,Persevering Face,Emotion,Face,מִתְאַמֵּץ,mitametz,מִתְאַמֶּצֶת,mitametzet
😞,Disappointed Face,Emotion,Face,מְאֻכְזָב,meuchzav,מְאֻכְזֶבֶת,meuchzevet
😓,Downcast Face with Sweat,Emotion,Face,מֻתָּשׁ,mutash,מֻתֶּשֶׁת,muteshet
😩,Weary Face,Emotion,Face,מֻתָּשׁ,mutash,מֻתֶּשֶׁת,muteshet
😫,Tired Face,Emotion,Face,עָיֵף,ayef,עֲיֵפָה,ayefa
🥱,Yawning Face,Emotion,Face,מְפַהֵק,mefahek,מְפַהֶקֶת,mefaheket
😤,Face with Steam from Nose,Emotion,Face,נִרְגָּן,nirgan,נִרְגֶּנֶת,nirgenet
😡,Pouting Face,Emotion,Face,כּוֹעֵס,koes,כּוֹעֶסֶת,koeset
😠,Angry Face,Emotion,Face,כּוֹעֵס,koes,כּוֹעֶסֶת,koeset
🤬,Face with Symbols on Mouth,Emotion,Face,מְקַלֵּל,mekalel,מְקַלֶּלֶת,mekalelet
😈,Smiling Face with Horns,Emotion,Creature,שֵׁד,shed,,
👿,Angry Face with Horns,Emotion,Creature,שֵׁד כּוֹעֵס,shed koes,,
💩,Pile of Poo,Emotion,Creature,קָקִי,kaki,,
🤡,Clown Face,Emotion,Creature,לֵיצָן,leytzan,לֵיצָנִית,leytzanit
👹,Ogre,Emotion,Creature,מִפְלֶצֶת,mifletzet,מִפְלֶצֶת,mifletzet
👺,Goblin,Emotion,Creature,שֵׁד יַפָּנִי,shed yapani,,
👻,Ghost,Emotion,Creature,,,רוּחַ רְפָאִים,ruach refaim
👽,Alien,Emotion,Creature,חַיְזָר,chayzar,חַיְזָרִית,chayzarit
👾,Alien Monster,Emotion,Creature,מִפְלֶצֶת חַיְזָרִית,mifletzet chayzarit,,
🤖,Robot,Emotion,Creature,רוֹבּוֹט,robot,,
😺,Grinning Cat,Emotion,Cat Face,חָתוּל מְחַיֵּךְ,chatul mechayech,,
😸,Grinning Cat with Smiling Eyes,Emotion,Cat Face,חָתוּל צוֹחֵק,chatul tzochek,,
😹,Cat with Tears of Joy,Emotion,Cat Face,חָתוּל צוֹחֵק עַד דְּמָעוֹת,chatul tzochek ad demaot,,
😻,Smiling Cat with Heart-Eyes,Emotion,Cat Face,חָתוּל מְאֹהָב,chatul meohav,,
😼,Cat with Wry Smile,Emotion,Cat Face,חָתוּל מְלַגְלֵג,chatul melagleg,,
😽,Kissing Cat,Emotion,Cat Face,חָתוּל מְנַשֵּׁק,chatul menashek,,
🙀,Weary Cat,Emotion,Cat Face,חָתוּל מְבֹהָל,chatul mevohal,,
😿,Crying Cat,Emotion,Cat Face,חָתוּל בּוֹכֶה,chatul boche,,
😾,Pouting Cat,Emotion,Cat Face,חָתוּל כּוֹעֵס,chatul koes,,
🙈,See-No-Evil Monkey,Emotion,Monkey,קוֹף לֹא רוֹאֶה,kof lo roe,,
🙉,Hear-No-Evil Monkey,Emotion,Monkey,קוֹף לֹא שׁוֹמֵעַ,kof lo shomea,,
🙊,Speak-No-Evil Monkey,Emotion,Monkey,קוֹף לֹא מְדַבֵּר,kof lo medaber,,
💋,Kiss Mark,Emotion,Heart,,,נְשִׁיקָה,neshika
💌,Love Letter,Emotion,Heart,מִכְתַּב אַהֲבָה,michtav ahava,,
💘,Heart with Arrow,Emotion,Heart,לֵב עִם חֵץ,lev im chetz,,
💝,Heart with Ribbon,Emotion,Heart,לֵב עִם סֶרֶט,lev im seret,,
💖,Sparkling Heart,Emotion,Heart,לֵב נוֹצֵץ,lev notzetz,,
💗,Growing Heart,Emotion,Heart,לֵב גָּדֵל,lev gadel,,
💓,Beating Heart,Emotion,Heart,לֵב פּוֹעֵם,lev poem,,
💞,Revolving Hearts,Emotion,Heart,לְבָבוֹת מִסְתּוֹבְבִים,levavot mistovvim,,
💕,Two Hearts,Emotion,Heart,שְׁנֵי לְבָבוֹת,sheney levavot,,
💟,Heart Decoration,Emotion,Heart,לֵב מְעֻטָּר,lev meutar,,
❣️,Heart Exclamation,Emotion,Heart,סִימַן קְרִיאָה לֵב,siman keriya lev,,
💔,Broken Heart,Emotion,Heart,לֵב שָׁבוּר,lev shavur,,
❤️‍🔥,Heart on Fire,Emotion,Heart,לֵב בּוֹעֵר,lev boer,,
❤️‍🩹,Mending Heart,Emotion,Heart,לֵב מַחְלִים,lev machlim,,
💯,Hundred Points,Emotion,Symbol,מֵאָה נְקֻדּוֹת,mea nekudot,,
💢,Anger Symbol,Emotion,Symbol,סִימַן כַּעַס,siman kaas,,
💥,Collision,Emotion,Symbol,,,הִתְפּוֹצְצוּת,hitpotztzut
💫,Dizzy,Emotion,Symbol,,,סְחַרְחֹרֶת,secharchoret
💦,Sweat Droplets,Emotion,Symbol,טִפּוֹת זֵעָה,tipot zea,,
💨,Dashing Away,Emotion,Symbol,מִתְרוֹצֵץ,mitrotzetz,מִתְרוֹצֶצֶת,mitrotzetzet
🕳️,Hole,Emotion,Symbol,,,חוֹר,chor
💣,Bomb,Emotion,Symbol,,,פְּצָצָה,petzatza
💬,Speech Balloon,Emotion,Speech,בַּלוֹן דִּבּוּר,balon dibur,,
👁️‍🗨️,Eye in Speech Bubble,Emotion,Speech,עַיִן בְּבַלוֹן דִּבּוּר,ayin bevalon dibur,,
🗨️,Left Speech Bubble,Emotion,Speech,בַּלוֹן דִּבּוּר,balon dibur,,
🗯️,Right Anger Bubble,Emotion,Speech,בַּלוֹן כַּעַס,balon kaas,,
💭,Thought Balloon,Emotion,Speech,בַּלוֹן מַחְשָׁבָה,balon machshava,,
💤,Zzz,Emotion,Speech,נַחֲרוֹת,nacharot,,
👋,Waving Hand,Person,Hand Gesture,יָד מְנוֹפֶפֶת,yad menofefet,,
🤚,Raised Back of Hand,Person,Hand Gesture,גַּב יָד מוּרָם,gav yad muram,,
🖐️,Hand with Fingers Splayed,Person,Hand Gesture,יָד פְּתוּחָה,yad petucha,,
🖖,Vulcan Salute,Person,Hand Gesture,בִּרְכַּת כֹּהֲנִים,birkat kohanim,,
🫱,Rightwards Hand,Person,Hand Gesture,יָד יְמָנִית,yad yemanit,,
🫲,Leftwards Hand,Person,Hand Gesture,יָד שְׂמָאלִית,yad semalit,,
🫳,Palm Down Hand,Person,Hand Gesture,יָד עִם כַּף לְמַטָּה,yad im kaf lemata,,
🫴,Palm Up Hand,Person,Hand Gesture,יָד עִם כַּף לְמַעְלָה,yad im kaf lemala,,
🫷,Leftwards Pushing Hand,Person,Hand Gesture,יָד דּוֹחֶפֶת שְׂמֹאלָה,yad dochefet semola,,
🫸,Rightwards Pushing Hand,Person,Hand Gesture,יָד דּוֹחֶפֶת יְמִינָה,yad dochefet yemina,,
👌,OK Hand,Person,Hand Gesture,יָד אוֹ.קֵי.,yad o.key.,,
🤌,Pinched Fingers,Person,Hand Gesture,אֶצְבָּעוֹת מְחֻבָּרוֹת,etzbaot mechubarot,,
🤏,Pinching Hand,Person,Hand Gesture,יָד צוֹבֶטֶת,yad tzovetet,,
✌️,Victory Hand,Person,Hand Gesture,יָד נִצָּחוֹן,yad nitzachon,,
🤞,Crossed Fingers,Person,Hand Gesture,אֶצְבָּעוֹת מְשֻׁלָּבוֹת,etzbaot meshulavot,,
🫰,Hand with Index Finger and Thumb Crossed,Person,Hand Gesture,יָד עִם אֶצְבַּע וּבֹהֶן מְשֻׁלָּבִים,yad im etzba uvohen meshulavim,,
🤟,Love-You Gesture,Person,Hand Gesture,אֲנִי אוֹהֵב אוֹתְךָ,ani ohev otach,,
🤘,Sign of the Horns,Person,Hand Gesture,יָד שֶׁל רוֹק,yad shel rok,,
🤙,Call Me Hand,Person,Hand Gesture,תִּתְקַשֵּׁר אֵלַי,titkasher elay,,
👈,Backhand Index Pointing Left,Person,Hand Gesture,יָד מַצְבִּיעָה שְׂמֹאלָה,yad matzbiya semola,,
👉,Backhand Index Pointing Right,Person,Hand Gesture,יָד מַצְבִּיעָה יְמִינָה,yad matzbiya yemina,,
👆,Backhand Index Pointing Up,Person,Hand Gesture,יָד מַצְבִּיעָה לְמַעְלָה,yad matzbiya lemala,,
🖕,Middle Finger,Person,Hand Gesture,אֶצְבַּע מְשֻׁלֶּשֶׁת,etzba meshuleshet,,
👇,Backhand Index Pointing Down,Person,Hand Gesture,יָד מַצְבִּיעָה לְמַטָּה,yad matzbiya lemata,,
☝️,Index Pointing Up,Person,Hand Gesture,אֶצְבַּע מַצְבִּיעָה לְמַעְלָה,etzba matzbiya lemala,,
🫵,Index Pointing at the Viewer,Person,Hand Gesture,אֶצְבַּע מַצְבִּיעָה אֵלֶיךָ,etzba matzbiya eleyach,,
👍,Thumbs Up,Person,Hand Gesture,אֲגוּדָל לְמַעְלָה,agudal lemala,,
👎,Thumbs Down,Person,Hand Gesture,אֲגוּדָל לְמַטָּה,agudal lemata,,
✊,Raised Fist,Person,Hand Gesture,אֶגְרוֹף מוּרָם,egrof muram,,
👊,Oncoming Fist,Person,Hand Gesture,אֶגְרוֹף,egrof,,
🤛,Left-Facing Fist,Person,Hand Gesture,אֶגְרוֹף שְׂמָאלִי,egrof semali,,
🤜,Right-Facing Fist,Person,Hand Gesture,אֶגְרוֹף יְמָנִי,egrof yemani,,
👏,Clapping Hands,Person,Hand Gesture,יָדַיִם מוֹחֲאוֹת כַּף,yadayim mochaot kaf,,
🙌,Raising Hands,Person,Hand Gesture,יָדַיִם מוּרָמוֹת,yadayim muramot,,
🫶,Heart Hands,Person,Hand Gesture,יָדַיִם בְּצוּרַת לֵב,yadayim betzurat lev,,
👐,Open Hands,Person,Hand Gesture,יָדַיִם פְּתוּחוֹת,yadayim petuchot,,
🤲,Palms Up Together,Person,Hand Gesture,כַּפּוֹת יָדַיִם פְּתוּחוֹת,kapot yadayim petuchot,,
🤝,Handshake,Person,Hand Gesture,לְחִיצַת יָד,lechitzat yad,,
💅,Nail Polish,Person,Hand Gesture,,,לַכָּה לְצִפָּרְנַיִם,laka letziparnayim
🦻,Ear with Hearing Aid,Person,Body,אֹזֶן עִם מַכְשִׁיר שְׁמִיעָה,ozen im machshir shemiya,,
🫦,Biting Lip,Person,Body,,,נְשִׁיכַת שָׂפָה,neshichat safa
👱,Person: Blond Hair,Person,Person,בְּלוֹנְדִּינִי,belondini,בְּלוֹנְדִּינִית,belondinit
🧓,Older Person,Person,Person,מְבֻגָּר,mevugar,מְבֻגֶּרֶת,mevugeret
🙍,Person Frowning,Person,Person,עָצוּב,atzuv,עֲצוּבָה,atzuva
🙎,Person Pouting,Person,Person,זוֹעֵף,zoef,זוֹעֶפֶת,zoefet
🙅,Person Gesturing No,Person,Person,מְסַמֵּן לֹא,mesamen lo,מְסַמֶּנֶת לֹא,mesamenet lo
🙆,Person Gesturing OK,Person,Person,מְסַמֵּן בְּסֵדֶר,mesamen beseder,מְסַמֶּנֶת בְּסֵדֶר,mesamenet beseder
💁,Person Tipping Hand,Person,Person,דַּיֶּלֶת מֵידָע,dayelet meyda,דַּיֶּלֶת מֵידָע,dayelet meyda
🙋,Person Raising Hand,Person,Person,מֵרִים יָד,merim yad,מְרִימָה יָד,merima yad
🧏,Deaf Person,Person,Person,חֵרֵשׁ,cheresh,חֵרֶשֶׁת,chereshet
🙇,Person Bowing,Person,Person,מִשְׁתַּחֲוֶה,mishtachave,מִשְׁתַּחֲוָה,mishtachava
🤦,Person Facepalming,Person,Person,יָד עַל פָּנִים,yad al panim,יָד עַל פָּנִים,yad al panim
🤷,Person Shrugging,Person,Person,מוֹשֵׁךְ בִּכְתֵפַיִם,moshech bichtefayim,מוֹשֶׁכֶת בִּכְתֵפַיִם,moshechet bichtefayim
🧑‍⚕️,Health Worker,Person,Profession,עוֹבֵד בְּרִיאוּת,oved beriyut,עוֹבֶדֶת בְּרִיאוּת,ovedet beriyut
🧑‍🎓,Student,Person,Profession,סְטוּדֶנְט,setudent,סְטוּדֶנְטִית,setudentit
🧑‍🏫,Teacher,Person,Profession,מוֹרֶה,more,מוֹרָה,mora
